text,speaker,season,episode,scene,utterance,emotion
"Oh, so there is gonna be a fifth date?",Monica Geller,1,1,8,4,Neutral
Isn't there?,Paul the Wine Guy,1,1,8,5,Scared
"Yeah... yeah, I think there is. -What were you gonna say?",Monica Geller,1,1,8,6,Neutral
"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",Paul the Wine Guy,1,1,8,7,Sad
"Oh God, oh God, I am sorry... I am so sorry...",Monica Geller,1,1,8,8,Neutral
It's okay...,Paul the Wine Guy,1,1,8,9,Sad
I know being spit on is probably not what you need right now. Um... how long?,Monica Geller,1,1,8,10,Neutral
Two years.,Paul the Wine Guy,1,1,8,11,Neutral
Wow! I'm-I'm-I'm glad you smashed her watch!,Monica Geller,1,1,8,12,Joyful
"So you still think you, um... might want that fifth date?",Paul the Wine Guy,1,1,8,13,Neutral
"...Yeah. Yeah, I do.",Monica Geller,1,1,8,14,Neutral
"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",Ross Geller,1,1,10,1,Peaceful
"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",Joey Tribbiani,1,1,10,2,Scared
"Angela's the screamer, Andrea has cats.",Chandler Bing,1,1,10,3,Joyful
Right. Thanks. It's June. I'm outta here.,Joey Tribbiani,1,1,10,4,Peaceful
"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",Ross Geller,1,1,10,5,Sad
"Hey, Monica!",Franny,1,1,12,1,Joyful
"Hey Frannie, welcome back! How was Florida?",Monica Geller,1,1,12,2,Neutral
"You had sex, didn't you?",Franny,1,1,12,3,Neutral
How do you do that?,Monica Geller,1,1,12,4,Neutral
"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",Franny,1,1,12,5,Mad
You know Paul?,Monica Geller,1,1,12,6,Neutral
"Paul the Wine Guy? Oh yeah, I know Paul.",Franny,1,1,12,7,Neutral
You mean you know Paul like I know Paul?,Monica Geller,1,1,12,8,Neutral
"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",Franny,1,1,12,9,Neutral
Of course it was a line!,Joey Tribbiani,1,1,13,1,Mad
"Why?! Why? Why, why would anybody do something like that?",Monica Geller,1,1,13,2,Mad
I assume we're looking for an answer more sophisticated than 'to get you into bed'.,Ross Geller,1,1,13,3,Neutral
I hate men! I hate men!,Monica Geller,1,1,13,4,Mad
"Oh no, don't hate, you don't want to put that out into the universe.",Phoebe Buffay,1,1,13,5,Peaceful
Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,Monica Geller,1,1,13,6,Mad
"All right, c'mere, gimme your feet.",Phoebe Buffay,1,1,13,7,Peaceful
"I just thought he was nice, y'know?",Monica Geller,1,1,13,8,Sad
I can't believe you didn't know it was a line!,Joey Tribbiani,1,1,13,9,Joyful
Guess what?,Rachel Green,1,1,13,11,Neutral
You got a job?,Ross Geller,1,1,13,12,Neutral
Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,Rachel Green,1,1,13,13,Mad
And yet you're surprisingly upbeat.,Chandler Bing,1,1,13,14,Neutral
"You would be too if you found John and David boots on sale, fifty percent off!",Rachel Green,1,1,13,15,Joyful
"Oh, how well you know me...",Chandler Bing,1,1,13,16,Neutral
"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",Rachel Green,1,1,13,17,Joyful
How'd you pay for them?,Monica Geller,1,1,13,18,Neutral
"Uh, credit card.",Rachel Green,1,1,13,19,Neutral
And who pays for that?,Monica Geller,1,1,13,20,Neutral
Um... my... father.,Rachel Green,1,1,13,21,Neutral
I can't believe what I'm hearing here.,Joey Tribbiani,1,1,15,1,Neutral
I can't believe what I'm hearing here...,Phoebe Buffay,1,1,15,2,Joyful
What? I-I said you had a-,Monica Geller,1,1,15,3,Scared
What I said you had...,Phoebe Buffay,1,1,15,4,Joyful
Would you stop?,Monica Geller,1,1,15,5,Mad
"Oh, was I doing it again?",Phoebe Buffay,1,1,15,6,Neutral
Yes!,#ALL#,1,1,15,7,Mad
"I said that you had a nice butt, it's just not a great butt.",Monica Geller,1,1,15,8,Peaceful
"Oh, you wouldn't know a great butt if it came up and bit ya.",Joey Tribbiani,1,1,15,9,Joyful
There's an image.,Ross Geller,1,1,15,10,Neutral
Would anybody like more coffee?,Rachel Green,1,1,15,11,Peaceful
"Did you make it, or are you just serving it?",Chandler Bing,1,1,15,12,Scared
I'm just serving it.,Rachel Green,1,1,15,13,Neutral
"Yeah. Yeah, I'll have a cup of coffee.",#ALL#,1,1,15,14,Joyful
"Kids, new dream... I'm in Las Vegas.",Chandler Bing,1,1,15,15,Peaceful
"Ahh, miss? More coffee?",Customer,1,1,15,16,Scared
"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.",Rachel Green,1,1,15,17,Mad
"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",Chandler Bing,1,1,15,18,Neutral
"What you guys don't understand is, for us, kissing is as important as any part of it.",Monica Geller,1,2,1,1,Joyful
"Yeah, right!.......Y'serious?",Joey Tribbiani,1,2,1,2,Neutral
"Oh, yeah!",Phoebe Buffay,1,2,1,3,Joyful
Everything you need to know is in that first kiss.,Rachel Green,1,2,1,4,Powerful
Absolutely.,Monica Geller,1,2,1,5,Powerful
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Chandler Bing,1,2,1,6,Joyful
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",Ross Geller,1,2,1,7,Neutral
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Chandler Bing,1,2,1,8,Mad
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",Rachel Green,1,2,1,9,Sad
....Are we still talking about sex?,Joey Tribbiani,1,2,1,10,Joyful
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",Ross Geller,1,2,2,1,Scared
"Well, she has issues.",Marsha,1,2,2,2,Sad
Does she.,Ross Geller,1,2,2,3,Scared
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",Marsha,1,2,2,4,Mad
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",Ross Geller,1,2,2,5,Neutral
"Speaking of issues, isn't that your ex-wife?",Marsha,1,2,2,6,Mad
No. No.,Ross Geller,1,2,2,8,Scared
"Yes, it is. Carol! Hi!",Marsha,1,2,2,9,Joyful
"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",Ross Geller,1,2,2,10,Scared
Hi.,Ross Geller,1,2,2,12,Neutral
So.,Carol Willick,1,2,2,13,Neutral
"You look great. I, uh... I hate that.",Ross Geller,1,2,2,14,Scared
Sorry. You look good too.,Carol Willick,1,2,2,15,Joyful
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",Ross Geller,1,2,2,16,Joyful
A lesbian?,Carol Willick,1,2,2,17,Neutral
"Well... you never know. How's, um.. how's the family?",Ross Geller,1,2,2,18,Peaceful
"Marty's still totally paranoid. Oh, and, uh-",Carol Willick,1,2,2,19,Mad
"Why- why are you here, Carol?",Ross Geller,1,2,2,20,Scared
I'm pregnant.,Carol Willick,1,2,2,21,Neutral
Pregnant?!,Ross Geller,1,2,2,22,Scared
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Ross Geller,1,2,6,1,Neutral
Hi.,Susan Bunch,1,2,6,3,Neutral
"Ross, you remember Susan.",Carol Willick,1,2,6,4,Neutral
How could I forget?,Ross Geller,1,2,6,5,Mad
Ross.,Susan Bunch,1,2,6,6,Neutral
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",Ross Geller,1,2,6,7,Neutral
Dr. Oberman.,Carol Willick,1,2,6,8,Neutral
..Dr. Oberman. Okay. And is he-,Ross Geller,1,2,6,9,Neutral
She.,Susan Bunch,1,2,6,10,Neutral
"-she, of course, she- uh- familiar with our.. special situation?",Ross Geller,1,2,6,11,Neutral
"Yes, and she's very supportive.",Carol Willick,1,2,6,12,Neutral
"Okay, that's great. No, I'm- Oh.",Ross Geller,1,2,6,13,Neutral
Thanks.,Carol Willick,1,2,6,14,Neutral
"Quack, quack..",Ross Geller,1,2,6,15,Joyful
Ross? That opens my cervix.,Carol Willick,1,2,6,16,Scared
Barry?,Rachel Green,1,2,7,1,Neutral
C'mon in.,Barry Farber,1,2,7,2,Neutral
Are you sure?,Rachel Green,1,2,7,3,Scared
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Barry Farber,1,2,7,4,Neutral
Huh?!,Robbie,1,2,7,5,Scared
"So, how ya doin?",Barry Farber,1,2,7,6,Peaceful
I'm- uh- I'm okay... You look great!,Rachel Green,1,2,7,7,Sad
"Yeah, well..",Barry Farber,1,2,7,8,Neutral
"Dr. Farber, Jason Greenstein's gagging.",Bernice,1,2,7,9,Neutral
Be right there. Be back in a sec.,Barry Farber,1,2,7,10,Neutral
I dumped him.,Rachel Green,1,2,7,12,Sad
Okay.,Robbie,1,2,7,13,Neutral
"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",Ross Geller,1,2,8,1,Scared
Give me a 'for instance'.,Carol Willick,1,2,8,2,Mad
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Ross Geller,1,2,8,3,Scared
Marlon-,Carol Willick,1,2,8,4,Powerful
Marlon?!,Ross Geller,1,2,8,5,Mad
"-if it's a boy, Minnie if it's a girl.",Carol Willick,1,2,8,6,Powerful
...As in Mouse?,Ross Geller,1,2,8,7,Mad
As in my grandmother.,Carol Willick,1,2,8,8,Neutral
"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",Ross Geller,1,2,8,9,Scared
Julia..,Carol Willick,1,2,8,10,Neutral
We agreed on Minnie.,Susan Bunch,1,2,8,11,Powerful
"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",Ross Geller,1,2,8,12,Powerful
Sorry about that. So. What have you been up to?,Barry Farber,1,2,9,1,Neutral
"Oh, not much. I-I got a job.",Rachel Green,1,2,9,2,Scared
"Oh, that's great.",Barry Farber,1,2,9,3,Joyful
Why are- why are you so tanned?,Rachel Green,1,2,9,4,Scared
"Oh, I, uh- I went to Aruba.",Barry Farber,1,2,9,5,Scared
Oh no. You went on our honeymoon alone?,Rachel Green,1,2,9,6,Mad
"No. I went with, uh.. Now, this may hurt.",Barry Farber,1,2,9,7,Neutral
Me?!,Robbie,1,2,9,8,Neutral
No! I went with Mindy.,Barry Farber,1,2,9,9,Scared
"Mindy?! My maid of honour, Mindy?!",Rachel Green,1,2,9,10,Mad
"Yeah, well, uh, we're kind of a thing now.",Barry Farber,1,2,9,11,Scared
"Oh! Well, um.. You've got plugs!",Rachel Green,1,2,9,12,Mad
Careful! They haven't quite taken yet.,Barry Farber,1,2,9,13,Mad
And you've got lenses! But you hate sticking your finger in your eye!,Rachel Green,1,2,9,14,Mad
"Not for her. Listen, I really wanted to thank you.",Barry Farber,1,2,9,15,Peaceful
Okay..,Rachel Green,1,2,9,16,Mad
"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",Barry Farber,1,2,9,17,Neutral
Wow.,Rachel Green,1,2,9,18,Scared
"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",Barry Farber,1,2,9,19,Joyful
What?,Rachel Green,1,2,9,20,Scared
Me.,Robbie,1,2,9,21,Sad
"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",Rachel Green,1,2,9,22,Sad
"Well, thank you for giving it back.",Barry Farber,1,2,9,23,Sad
Hello?!,Robbie,1,2,9,25,Scared
"Oh, please! What's wrong with Helen?",Susan Bunch,1,2,10,1,Mad
Helen Geller? I don't think so.,Ross Geller,1,2,10,2,Mad
Hello? It's not gonna be Helen Geller.,Carol Willick,1,2,10,3,Powerful
Thank you!,Ross Geller,1,2,10,4,Powerful
"No, I mean it's not Geller.",Carol Willick,1,2,10,5,Powerful
"What, it's gonna be Helen Willick?",Ross Geller,1,2,10,6,Mad
"No, actually, um, we talked about Helen Willick-Bunch.",Carol Willick,1,2,10,7,Neutral
"Well, wait a minute, wha- why is she in the title?",Ross Geller,1,2,10,8,Mad
It's my baby too.,Susan Bunch,1,2,10,9,Powerful
"Oh, 's'funny, really? Um, I don't remember you making any sperm.",Ross Geller,1,2,10,10,Mad
"Yeah, and we all know what a challenge that is!",Susan Bunch,1,2,10,11,Mad
"All right, you two, stop it!",Carol Willick,1,2,10,12,Mad
"No no no, she gets a credit, hey, I'm in there too.",Ross Geller,1,2,10,13,Mad
Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,Carol Willick,1,2,10,14,Neutral
"Of course not, I'm... suggesting Geller-Willick-Bunch.",Ross Geller,1,2,10,15,Powerful
"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",Susan Bunch,1,2,10,16,Mad
"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-",Ross Geller,1,2,10,17,Mad
Knock knock!How are we today? Any nausea?,Dr. Oberman,1,2,10,18,Neutral
Yeah. Yeah. A little.,#ALL#,1,2,10,19,Neutral
"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",Dr. Oberman,1,2,10,20,Neutral
"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.",Ross Geller,1,2,10,21,Sad
Oh my God.,Ross Geller,1,2,10,23,Joyful
Look at that.,Susan Bunch,1,2,10,24,Joyful
I know.,Carol Willick,1,2,10,25,Joyful
Well? Isn't that amazing?,Ross Geller,1,2,11,1,Joyful
What are we supposed to be seeing here?,Joey Tribbiani,1,2,11,2,Neutral
"I dunno, but.. I think it's about to attack the Enterprise.",Chandler Bing,1,2,11,3,Joyful
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",Phoebe Buffay,1,2,11,4,Joyful
"Then don't do that, alright?",Ross Geller,1,2,11,5,Mad
Okay!,Phoebe Buffay,1,2,11,6,Neutral
Monica. Whaddya think?,Ross Geller,1,2,11,7,Neutral
Mm-hmm.,Monica Geller,1,2,11,8,Sad
Wh- are you welling up?,Ross Geller,1,2,11,9,Neutral
No.,Monica Geller,1,2,11,10,Neutral
"You are, you're welling up.",Ross Geller,1,2,11,11,Powerful
Am not!,Monica Geller,1,2,11,12,Mad
You're gonna be an aunt.,Ross Geller,1,2,11,13,Joyful
Oh shut up!,Monica Geller,1,2,11,14,Joyful
"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now.",Rachel Green,1,2,11,15,Mad
Hi guys!,Phoebe Buffay,1,3,1,1,Joyful
"Hey, Pheebs! Hi!",#ALL#,1,3,1,2,Joyful
"Hey. Oh, oh, how'd it go?",Ross Geller,1,3,1,3,Joyful
"Um, not so good. He walked me to the subway and said 'We should do this again!'",Phoebe Buffay,1,3,1,4,Sad
Ohh. Ouch.,#ALL#,1,3,1,5,Sad
"What? He said 'we should do it again', that's good, right?",Rachel Green,1,3,1,6,Neutral
"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",Monica Geller,1,3,1,7,Neutral
Since when?,Rachel Green,1,3,1,8,Neutral
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",Joey Tribbiani,1,3,1,9,Neutral
Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,Chandler Bing,1,3,1,10,Neutral
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",Phoebe Buffay,1,3,1,11,Mad
And everybody knows this?,Rachel Green,1,3,1,12,Neutral
Yeah. Cushions the blow.,Joey Tribbiani,1,3,1,13,Neutral
"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",Chandler Bing,1,3,1,14,Neutral
"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",Ross Geller,1,3,1,15,Neutral
"Uh, Ross.",Monica Geller,1,3,1,16,Neutral
"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!",Ross Geller,1,3,1,17,Scared
"""So how does it feel knowing you're about to die?""",Chandler Bing,1,3,2,1,Neutral
"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",Joey Tribbiani,1,3,2,2,Peaceful
"Hey, that was really good!",Chandler Bing,1,3,2,3,Joyful
Thanks! Let's keep going.,Joey Tribbiani,1,3,2,4,Powerful
"Okay. ""So. Whaddya want from me, Damone, huh?""",Chandler Bing,1,3,2,5,Neutral
"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",Joey Tribbiani,1,3,2,6,Neutral
"""Smoke away.""",Chandler Bing,1,3,2,7,Neutral
I think this is probably why Damone smokes in his cell alone.,Chandler Bing,1,3,2,9,Neutral
What?,Joey Tribbiani,1,3,2,10,Scared
Relax your hand!,Chandler Bing,1,3,2,11,Powerful
Not so much!,Chandler Bing,1,3,2,13,Powerful
Whoah!,Joey Tribbiani,1,3,2,14,Scared
Hey!,Chandler Bing,1,3,2,15,Powerful
Hey!,Joey Tribbiani,1,3,2,16,Powerful
"Alright, now try taking a puff.",Chandler Bing,1,3,2,17,Neutral
Alright.. okay. No. Give it to me.,Chandler Bing,1,3,2,19,Neutral
"No no no, I am not giving you a cigarette.",Joey Tribbiani,1,3,2,20,Neutral
"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",Chandler Bing,1,3,2,21,Powerful
"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",Chandler Bing,1,3,2,23,Powerful
Y'miss it?,Joey Tribbiani,1,3,2,24,Neutral
"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",Chandler Bing,1,3,2,25,Scared
Hi.. how was the game?,Monica Geller,1,3,6,1,Neutral
Well..,Ross Geller,1,3,6,2,Neutral
WE WON!! Thank you! Yes!,#ALL#,1,3,6,3,Joyful
Fantastic! I have one question: How is that possible?,Monica Geller,1,3,6,4,Joyful
Alan.,Joey Tribbiani,1,3,6,5,Neutral
"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",Ross Geller,1,3,6,6,Joyful
"I mean, it-it was like, it was like he made us into a team.",Rachel Green,1,3,6,7,Sad
"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",Chandler Bing,1,3,6,8,Joyful
Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,Monica Geller,1,3,6,9,Scared
What?,Ross Geller,1,3,6,10,Neutral
"..I dunno, a little too Alan?",Monica Geller,1,3,6,11,Neutral
"Well, no. That's impossible. You can never be too Alan.",Rachel Green,1,3,6,12,Mad
"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",Ross Geller,1,3,6,13,Joyful
I personally could have a gallon of Alan.,Chandler Bing,1,3,6,14,Joyful
"Hey, Lizzie.",Phoebe Buffay,1,3,7,1,Neutral
"Hey, Weird Girl.",Lizzy,1,3,7,2,Neutral
I brought you alphabet soup.,Phoebe Buffay,1,3,7,3,Neutral
Did you pick out the vowels?,Lizzy,1,3,7,4,Neutral
"Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you.",Phoebe Buffay,1,3,7,5,Neutral
Saltines?,Lizzy,1,3,7,6,Neutral
"No, but would you like a thousand dollars and a football phone?",Phoebe Buffay,1,3,7,7,Neutral
"What? Oh my God, there's really money in here.",Lizzy,1,3,7,8,Joyful
I know.,Phoebe Buffay,1,3,7,9,Neutral
"Weird Girl, what are you doing?",Lizzy,1,3,7,10,Neutral
"No, I want you to have it. I don't want it.",Phoebe Buffay,1,3,7,11,Neutral
"No, no, I ha-I have to give you something.",Lizzy,1,3,7,12,Neutral
"Oh, that's fine, no.",Phoebe Buffay,1,3,7,13,Neutral
Would you like my tin-foil hat?,Lizzy,1,3,7,14,Joyful
"No. 'Cause you need that. No, it's okay, thanks.",Phoebe Buffay,1,3,7,15,Neutral
"Please, let me do something.",Lizzy,1,3,7,16,Neutral
"Okay, alright, you buy me a soda, and then we're even. Okay?",Phoebe Buffay,1,3,7,17,Neutral
Okay.,Lizzy,1,3,7,18,Neutral
Okay.,Phoebe Buffay,1,3,7,19,Neutral
A thumb?!,Ross Geller,1,3,9,1,Neutral
Eww!,#ALL#,1,3,9,3,Scared
"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",Phoebe Buffay,1,3,9,4,Mad
"Well, maybe it's a contest, y'know? Like, collect all five?",Chandler Bing,1,3,9,5,Neutral
"Does, um, anyone wanna see?",Phoebe Buffay,1,3,9,6,Neutral
Nooo!,#ALL#,1,3,9,7,Scared
"Oh, hey, don't do that! Cut it out!",#ALL#,1,3,9,9,Scared
It's worse than the thumb!,Rachel Green,1,3,9,10,Scared
"Hey, this is so unfair!",Chandler Bing,1,3,9,11,Neutral
"Oh, why is it unfair?",Monica Geller,1,3,9,12,Neutral
"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",Chandler Bing,1,3,9,13,Scared
...Does the knuckle-cracking bother everybody?,Joey Tribbiani,1,3,9,15,Sad
"Well, I-I could live without it.",Rachel Green,1,3,9,16,Neutral
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",Joey Tribbiani,1,3,9,17,Neutral
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",Ross Geller,1,3,9,19,Joyful
"Oh, ""you do, do you""?",Joey Tribbiani,1,3,9,20,Joyful
"You know, there's nothing wrong with speaking correctly.",Ross Geller,1,3,9,22,Neutral
"""Indeed there isn't""... I should really get back to work.",Rachel Green,1,3,9,23,Neutral
"Yeah, 'cause otherwise someone might get what they actually ordered.",Phoebe Buffay,1,3,9,24,Neutral
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",Rachel Green,1,3,9,25,Mad
Did you ever go out with a guy your friends all really like?,Monica Geller,1,3,10,1,Neutral
No.,Paula,1,3,10,2,Neutral
"Okay.. Well, I'm going out with a guy my friends all really like.",Monica Geller,1,3,10,3,Peaceful
"Waitwait.. we talking about the coyotes here? All right, a cow got through!",Paula,1,3,10,4,Joyful
"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",Monica Geller,1,3,10,5,Scared
"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",Paula,1,3,10,6,Powerful
I know.. it's gonna be really hard.,Monica Geller,1,3,10,7,Sad
"Well, he's a big boy, he'll get over it.",Paula,1,3,10,8,Powerful
"No, he'll be fine. It's the other five I'm worried about.",Monica Geller,1,3,10,9,Sad
Do you have any respect for your body?,Joey Tribbiani,1,3,11,1,Neutral
Don't you realise what you're-you're doing to yourself?,Ross Geller,1,3,11,2,Mad
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",Chandler Bing,1,3,11,3,Mad
"Chandler? It's Alan, he wants to speak to you.",Rachel Green,1,3,11,4,Neutral
