text,speaker,season,episode,scene,utterance
"Well, it was the only thing to do there that didn't have a line.",Ross Geller,1,7,8,22
"There, well, see? Barry wouldn't even kiss me on a miniature golf course.",Rachel Green,1,7,8,23
Come on.,Ross Geller,1,7,8,24
"No, he said we were holding up the people behind us.",Rachel Green,1,7,8,25
And you didn't marry him because...?,Ross Geller,1,7,8,26
"I mean, do you think there are people who go through life never having that kind of...",Rachel Green,1,7,8,27
"Probably. But you know, I'll tell you something. Passion is way overrated.",Ross Geller,1,7,8,28
Yeah right.,Rachel Green,1,7,8,29
"It is. Eventually, it kind of... burns out. But hopefully, what you're left with is trust, and security, and... well, in the case of my ex-wife, lesbianism. So, you know, for all of those people who miss out on that passion... thing, there's all that other good stuff.",Ross Geller,1,7,8,30
OK.,Rachel Green,1,7,8,31
"But, um... I don't think that's going to be you.",Ross Geller,1,7,8,32
You don't.,Rachel Green,1,7,8,33
"Uh-uh. See, I see.... big passion in your future.",Ross Geller,1,7,8,34
Really?,Rachel Green,1,7,8,35
Mmmm.,Ross Geller,1,7,8,36
You do?,Rachel Green,1,7,8,37
I do.,Ross Geller,1,7,8,38
"Oh Ross, you're so great.",Rachel Green,1,7,8,39
"(Ross gets up, pleased with himself.)",Scene Directions,1,7,8,40
It's never gonna happen.,Joey Tribbiani,1,7,8,41
What?,Ross Geller,1,7,8,42
You and Rachel.,Joey Tribbiani,1,7,8,43
What? Why not?,Ross Geller,1,7,8,44
"Because you waited too long to make your move, and now you're in the friend zone.",Joey Tribbiani,1,7,8,45
"No, no, no. I'm not in the zone.",Ross Geller,1,7,8,46
"Ross, you're mayor of the zone.",Joey Tribbiani,1,7,8,47
"I'm taking my time, alright? I'm laying the groundwork. Yeah. I mean, every day I get just a little bit closer to...",Ross Geller,1,7,8,48
"Priesthood! Look Ross, I'm telling you, she has no idea what you're thinking. If you don't ask her out soon you're going to end up stuck in the zone forever.",Joey Tribbiani,1,7,8,49
"I will, I will. See, I'm waiting for the right moment. What? What, now?",Ross Geller,1,7,8,50
"Yeeeeaaaahhh! What's messing you up? The wine? The candles? The moonlight? You've just got to go up to her and say, 'Rachel, I think that...'",Joey Tribbiani,1,7,8,51
Shhhh!,Ross Geller,1,7,8,52
What are you shushing?,Rachel Green,1,7,8,53
We're shushing... because... we're trying to hear something. Listen. Don't you hear that?,Ross Geller,1,7,8,54
Ahhhh!,Rachel Green,1,7,8,55
See?,Ross Geller,1,7,8,56
Huh.,Rachel Green,1,7,8,57
Would you like some gum?,Jill Goodacre,1,7,9,1
"Um, is it sugarless?",Chandler Bing,1,7,9,2
"Sorry, it's not.",Jill Goodacre,1,7,9,3
"Oh, then no thanks. What the hell was that? Mental note: If Jill Goodacre offers you gum, you take it. If she offers you mangled animal carcass, you take it.",Chandler Bing,1,7,9,4
"New York City has no power, and the milk is getting sour. But to me it is not scary, 'cause I stay away from dairy.... la la la, la la, la la...",Phoebe Buffay,1,7,10,1
"OK, here goes.",Ross Geller,1,7,10,2
Are you going to do it?,Joey Tribbiani,1,7,10,3
I'm going to do it.,Ross Geller,1,7,10,4
Do you want any help?,Joey Tribbiani,1,7,10,5
"You come out there, you're a dead man.",Ross Geller,1,7,10,6
"Good luck, man.",Joey Tribbiani,1,7,10,7
Thanks. OK.,Ross Geller,1,7,10,8
OK.,Joey Tribbiani,1,7,10,9
"(Monica walks in, starts to go out on the balcony.)",Scene Directions,1,7,10,10
"Hey, where are you going?",Joey Tribbiani,1,7,10,11
Outside.,Monica Geller,1,7,10,12
You can't go out there.,Joey Tribbiani,1,7,10,13
Why not?,Monica Geller,1,7,10,14
Because of... the reason.,Joey Tribbiani,1,7,10,15
And that would be?,Monica Geller,1,7,10,16
"I, um, can't tell you.",Joey Tribbiani,1,7,10,17
"Joey, what's going on?",Monica Geller,1,7,10,18
"OK, you've got to promise that you'll never, ever tell Ross that I told you.",Joey Tribbiani,1,7,10,19
About what?,Monica Geller,1,7,10,20
He's planning your birthday party.,Joey Tribbiani,1,7,10,21
Oh my God! I love him!,Monica Geller,1,7,10,22
You'd better act surprised.,Joey Tribbiani,1,7,10,23
About what?,Phoebe Buffay,1,7,10,24
My surprise party!,Monica Geller,1,7,10,25
What surprise party?,Phoebe Buffay,1,7,10,26
Oh stop it. Joey already told me.,Monica Geller,1,7,10,27
"Well, he didn't tell me.",Phoebe Buffay,1,7,10,28
"Hey, don't look at me. This is Ross's thing.",Joey Tribbiani,1,7,10,29
This is so typical. I'm always the last one to know everything.,Phoebe Buffay,1,7,10,30
"No, you are not. We tell you stuff.",Monica Geller,1,7,10,31
Yuh-huh! I was the last one to know when Chandler got bitten by the peacock at the zoo. I was the last one to know when you had a crush on Joey when he was moving in. Looks like I was second to last.,Phoebe Buffay,1,7,10,32
Hmmm... this is so nice.,Rachel Green,1,7,11,1
"OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment.",Ross Geller,1,7,11,2
OK.,Rachel Green,1,7,11,3
"OK. Here goes. For a while now, I've been wanting to, um....",Ross Geller,1,7,11,4
Ohhh!!!!,Rachel Green,1,7,11,5
"Yes, yes, that's right...",Ross Geller,1,7,11,6
"Oh, look at the little cat!",Rachel Green,1,7,11,7
What? Ow!,Ross Geller,1,7,11,8
"[Cut to inside. Monica, Joey and Phoebe are singing while outside, Ross and Rachel are trying to get the cat off of Ross' shoulder.]",Scene Directions,1,7,11,9
"I'm on top of the world, looking down on creation and the only explanation I can find, is the wonders I've found ever since...",,1,7,11,10
This is just Bactine. It won't hurt.,Monica Geller,1,7,12,1
(Ross flinches in pain.),Scene Directions,1,7,12,2
"Sorry, that was wax.",Joey Tribbiani,1,7,12,3
"Oh, poor little Tooty is scared to death. We should find his owner.",Phoebe Buffay,1,7,12,4
Why don't we just put 'poor little Tooty' out in the hall?,Ross Geller,1,7,12,5
During a blackout? He'd get trampled!,Rachel Green,1,7,12,6
Yeah?,Ross Geller,1,7,12,7
"You know, on second thought, gum would be perfection. 'Gum would be perfection'? 'Gum would be perfection.' Could have said 'gum would be nice,' or 'I'll have a stick,' but no, no, no, no. For me, gum is perfection. I loathe myself.",Chandler Bing,1,7,13,1
"Oh no, the Mendels, they hate all living things, right?",Phoebe Buffay,1,7,14,1
Oh. Hi. We just found this cat and we're looking for the owner.,Rachel Green,1,7,14,2
"Er, yeah, it's mine.",Mr. Heckles,1,7,14,3
He seems to hate you. Are you sure?,Phoebe Buffay,1,7,14,4
"Yeah, it's my cat. Give me my cat.",Mr. Heckles,1,7,14,5
Wait a minute. What's his name?,Phoebe Buffay,1,7,14,6
Ehhhh... B-Buttons.,Mr. Heckles,1,7,14,7
Bob Buttons?,Rachel Green,1,7,14,8
"Mmm. Bob Buttons. Here, Bob Buttons.",Mr. Heckles,1,7,14,9
Oooh! You are a very bad man!,Phoebe Buffay,1,7,14,10
You owe me a cat.,Mr. Heckles,1,7,14,11
"Here, kitty-kitty. Here kitty-kitty. Where did you go, little kitty-kitty-kitty? Here kitty-kitty-kitty-kitty...",Rachel Green,1,7,15,1
"(While looking at the floor for the cat, Rachel runs into a pair of legs. She slowly gets up and sees a gorgeous Italian hunk holding the cat. Who, by the way, you'll hate very, very soon. The man. Not the cat.)",Scene Directions,1,7,15,2
(something Italian),Scene Directions,1,7,15,3
Wow.,Rachel Green,1,7,15,4
Lucky sixes....,Ross Geller,1,7,16,1
"Everybody, this is Paolo. Paolo, I want you to meet my friends. This is Monica.",Rachel Green,1,7,16,2
Hi!,Monica Geller,1,7,16,3
And Joey....,Rachel Green,1,7,16,4
Hi!,Monica Geller,1,7,16,5
And Ross.,Rachel Green,1,7,16,6
Hi!,Monica Geller,1,7,16,7
(something in Italian),Scene Directions,1,7,16,8
He doesn't speak much English.,Rachel Green,1,7,16,9
Monopoly!,Paolo,1,7,16,10
Look at that!,Rachel Green,1,7,16,11
"So, um... where did Paolo come from?",Ross Geller,1,7,16,12
"Oh... Italy, I think.",Rachel Green,1,7,16,13
"No, I mean tonight, in the building. Suddenly. Into our lives.",Ross Geller,1,7,16,14
"Well, the cat... the cat turned out to be Paolo's cat!",Rachel Green,1,7,16,15
"That, that is funny... .... and Rachel keeps touching him.",Ross Geller,1,7,16,16
(Phoebe enters.),Scene Directions,1,7,16,17
Alright. I looked all over the building and I couldn't find the kitty anywhere.,Phoebe Buffay,1,7,16,18
"Oh, I found him. He was Paolo's cat.",Rachel Green,1,7,16,19
Ah! Well! There you go! Last to know again! And I'm guessing... since nobody told me... this is Paolo.,Phoebe Buffay,1,7,16,20
"Ah, Paolo, this is Phoebe.",Rachel Green,1,7,16,21
"(something in Italian, he is apparently attracted to Phoebe)",Scene Directions,1,7,16,22
You betcha!,Phoebe Buffay,1,7,16,23
"Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go.",Chandler Bing,1,7,17,1
"(Chandler waits until Jill is looking, then starts to blow a bubble. But instead of blow one, he accidentally spits the gum out of his mouth and hits the wall.)",Scene Directions,1,7,17,2
"Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth.",Chandler Bing,1,7,17,3
"Good save! We're back on track, and I'm... ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking.",Chandler Bing,1,7,17,4
(Chandler starts to choke.),Scene Directions,1,7,17,5
Are you alright?,Jill Goodacre,1,7,17,6
"(Chandler tries to save face and makes the 'OK' sign with his hands, while obviously unable to breathe.)",Scene Directions,1,7,17,7
"My God, you're choking! That better?",Jill Goodacre,1,7,17,8
Yes... thank you. That was... that was....,Chandler Bing,1,7,17,9
Perfection?,Jill Goodacre,1,7,17,10
(something romantic in Italian about Rachel and the stars),Scene Directions,1,7,18,1
"Blah blah blah, blah blah blah... blah blaaaaaah....",Ross Geller,1,7,18,2
"(Rachel walks away from Paolo, laughing.)",Scene Directions,1,7,18,3
Wha-What did he say that was so funny?,Ross Geller,1,7,18,4
I have absolutely no idea.,Rachel Green,1,7,18,5
That's... that's classic.,Ross Geller,1,7,18,6
"Oh my God, you guys, what am I doing? What am I doing? This is so un-me!",Rachel Green,1,7,18,7
"If you want, I'll do it.",Monica Geller,1,7,18,8
(Ross looks at Joey.),Scene Directions,1,7,18,9
"I know, I just want to bite his bottom lip. But I won't.",Phoebe Buffay,1,7,18,10
"God, the first time he smiled at me... those three seconds were more exciting than three weeks in Bermuda with Barry.",Rachel Green,1,7,18,11
"You know, did you ride mopeds? 'Cause I've heard... ... oh, I see... it's not about that right now. OK.",Phoebe Buffay,1,7,18,12
"Y'know, I know it's totally superficial and we have absolutely nothing in common, and we don't even speak the same language but Goooooooddddddd....",Rachel Green,1,7,18,13
"[Cut to the other side of the apartment, Ross has gone over to straighten things out with Paolo.]",Scene Directions,1,7,18,14
Paolo. Hi.,Ross Geller,1,7,18,15
Ross!,Paolo,1,7,18,16
"(Ross notices that Paolo is standing on a step, which makes him taller. Ross gets up on the same step so he can look down at Paolo.)",Scene Directions,1,7,18,17
"Listen. Um, listen. Something you should... know... um, Rachel and I... we're kind of a thing.",Ross Geller,1,7,18,18
Thing?,Paolo,1,7,18,19
"Thing, yes. Thing.",Ross Geller,1,7,18,20
"Ah, you... have the sex?",Paolo,1,7,18,21
"No, no, no. Technically the... sex is not... being had, but that's... see, that's not the point. See, um, the point is that... Rachel and I should be, er, together. You know, and if you get in the.... um...",Ross Geller,1,7,18,22
Bed?,Paolo,1,7,18,23
"No, no, that's not where I was going. Er, if you get in the... way, of us becoming a thing, then I would be, well, very sad.",Ross Geller,1,7,18,24
Oh!,Paolo,1,7,18,25
Yeah! Se vice?,Ross Geller,1,7,18,26
Si.,Paolo,1,7,18,27
So you do know a little English.,Ross Geller,1,7,18,28
Poco... a leetle.,Paolo,1,7,18,29
Do you know the word crapweasel?,Ross Geller,1,7,18,30
No.,Paolo,1,7,18,31
"That's funny, because you know, you are a huge crapweasel!",Ross Geller,1,7,18,32
(They hug.),Scene Directions,1,7,18,33
"Chandler, we've been here for an hour doing this! Now watch, it's easy.",Jill Goodacre,1,7,19,1
OK.,Chandler Bing,1,7,19,2
Ready?,Jill Goodacre,1,7,19,3
(Chandler tries to do the same thing but the pen hits him in the head.),Scene Directions,1,7,19,4
"No, you've got to whip it.",Jill Goodacre,1,7,19,5
"(He swings the pen hard, and it snaps back and almost hits him again.)",Scene Directions,1,7,19,6
"Oh, look look look. The last candle's about to burn out. 10, 9, 8, 7... ... negative 46, negative 47, negative 48....",Phoebe Buffay,1,7,20,1
Thank you.,Ross Geller,1,7,20,2
Thanks.,Phoebe Buffay,1,7,20,3
Kinda... spooky without any lights.,Ross Geller,1,7,20,4
Bwah-hah-hah!,Joey Tribbiani,1,7,20,5
(Everyone starts to imitate him.),Scene Directions,1,7,20,6
"OK, guys, guys? I have the definitive one. Mwwwooooo-hah-hah...",Ross Geller,1,7,20,7
"(The lights come back on, and Rachel and Paolo are making out. Ross clutches his chest.)",Scene Directions,1,7,20,8
Oh.. oh... oh.,Ross Geller,1,7,20,9
"Hey Ross. This probably isn't the best time to bring it up, but you have to throw a party for Monica.",Joey Tribbiani,1,7,20,10
"Well, this has been fun.",Jill Goodacre,1,7,21,1
"Yes. Yes, thanks for letting me use your phone... and for saving my life.",Chandler Bing,1,7,21,2
"Well, goodbye Chandler. I had a great blackout. See ya.",Jill Goodacre,1,7,21,3
"(She leaves. Chandler presses his face to the glass door after her, stroking the window lovingly. He then turns to the security camera and starts talking to it.)",Scene Directions,1,7,21,4
"Hi, um, I'm account number 7143457. And, uh, I don't know if you got any of that, but I would really like a copy of the tape.",Chandler Bing,1,7,21,5
"No-no-no-no, we're done.",Chandler Bing,1,12,1,1
"Aunt Syl, stop yelling! All I'm saying is that if you had told me vegetarian lasagna, I would have made vegetarian lasagna. Well, the meat's only every third layer, maybe you could scrape.",Monica Geller,1,12,2,1
"(Camera moves to Chandler, Phoebe, Ross, and Joey sitting in living room)",Scene Directions,1,12,2,2
"Ross, did you really read all these baby books?",Joey Tribbiani,1,12,2,3
"Yup! You could plunk me down in the middle of any woman's uterus, no compass, and I can find my way out of there like that!",Ross Geller,1,12,2,4
"Ooh, this is cool...it says in some parts of the world, people actually eat the placenta.",Phoebe Buffay,1,12,2,5
"And, we're done with the yogurt.",Chandler Bing,1,12,2,6
Sorry.,Phoebe Buffay,1,12,2,7
"Aunt Syl, I did this as a favor, I am not a caterer. What do you want me to do with a dozen lasagnas? Nice talk, Aunt Syl. You kiss Uncle Freddie with that mouth?",Monica Geller,1,12,2,8
(Camera pans back to group in living room),Scene Directions,1,12,2,9
"Hey Ross, listen, you know that right now, your baby's only this big? This is your baby. Hi Daddy!",Joey Tribbiani,1,12,2,10
Hello!,Ross Geller,1,12,2,11
How come you don't live with Mommy? How come Mommy lives with that other lady? What's a lesbian?,Joey Tribbiani,1,12,2,12
"(Rachel enters with Paolo, speaking Italian. Ross looks annoyed)",Scene Directions,1,12,2,13
"Honey, you can say it, Poconos, Poconos, it's like Poc-o-nos",Rachel Green,1,12,2,14
"Ah, poke a nose, mmm",Paolo,1,12,2,15
"Mma, Mma, Mmaah",,1,12,2,16
"(Camera pans to Rachel, Monica, and Phoebe in the kitchen)",Scene Directions,1,12,2,17
"So, did I hear Poconos?",Monica Geller,1,12,2,18
"Yes, my sister's giving us her place for the weekend.",Rachel Green,1,12,2,19
"Woo-hoo, first weekend away together!",Phoebe Buffay,1,12,2,20
"Yeah, that's a big step.",Monica Geller,1,12,2,21
I know...,Rachel Green,1,12,2,22
"(Camera pans to Ross, looking dejected)",Scene Directions,1,12,2,23
"Ah, it's just a weekend, big deal!",Chandler Bing,1,12,2,24
"Wasn't this supposed to be just a fling, huh? Shouldn't it be... flung by now?",Ross Geller,1,12,2,25
(Camera pans back to Rachel),Scene Directions,1,12,2,26
"I mean, we are way past the fling thing, I mean, I am feeling things that I've only read about in Danielle Steele books, you know? I mean, when I'm with him, I'm totally, totally...",Rachel Green,1,12,2,27
"(Camera pans to Ross, holding his stomach)",Scene Directions,1,12,2,28
"...nauseous, I'm physically nauseous. What am I supposed to do, huh? Call immigration? I could call immigration!",Ross Geller,1,12,2,29
"I love babies, with their little baby shoes, and their little baby toes, and their little baby hands...",Joey Tribbiani,1,12,3,1
"Ok, you're going to have to stop that, forever!",Chandler Bing,1,12,3,2
"(Joey opens door, throws keys on kitchen table, table falls over)",Scene Directions,1,12,3,3
Need a new table.,Joey Tribbiani,1,12,3,4
You think?,Chandler Bing,1,12,3,5
"Hey hey, come on in!",Carol Willick,1,12,4,1
"(Ross enters, carrying lasagna)",Scene Directions,1,12,4,2
"Hey, hello! mmwa! I brought all the books, and Monica sends her love, along with this lasagna.",Ross Geller,1,12,4,3
"Oh great! Is it vegetarian, 'cause Susan doesn't eat meat.",Carol Willick,1,12,4,4
I'm pretty sure that it is...,Ross Geller,1,12,4,5
"So, I got the results of the amnio today.",Carol Willick,1,12,4,6
"Oh, tell me, tell me, is everything, uhh....?",Ross Geller,1,12,4,7
Totally and completely healthy!,Carol Willick,1,12,4,8
"Oh, that's great, that is great!",Ross Geller,1,12,4,9
"Hey, when did you and Susan meet Huey Lewis?",Ross Geller,1,12,4,10
"Uh, that's our friend Tanya.",Carol Willick,1,12,4,11
Of course it's your friend Tanya.,Ross Geller,1,12,4,12
Don't you want to know about the sex?,Carol Willick,1,12,4,13
"The sex? Um, I'm having enough trouble with the image of you and Susan together, when you throw in Tanya , yaw...",Ross Geller,1,12,4,14
"The sex of the baby, Ross.",Carol Willick,1,12,4,15
"Oh, you know the sex of the baby? Oh, oh-oh-oh!",Ross Geller,1,12,4,16
Do you want to know?,Carol Willick,1,12,4,17
"No, no, no, no, no, I don't want to know, absolutely not. I think, you know, I think you should know until you look down there, and say, oop, there it is! Or isn't...",Ross Geller,1,12,4,18
(Susan enters),Scene Directions,1,12,4,19
"Oh, hello Ross!",Susan Bunch,1,12,4,20
Susan...,Ross Geller,1,12,4,21
"So, so, did you hear?",Susan Bunch,1,12,4,22
"Yes, we did, everything's A-OK!",Ross Geller,1,12,4,23
"Oh, that's so... It really is...do we know...?",Susan Bunch,1,12,4,24
"Yes, we certainly do, it's going to be...",Carol Willick,1,12,4,25
"Oh, hey hey hey, ho ho ho, hello, guy who doesn't want to know, standing right here!",Ross Geller,1,12,4,26
"Oh, well, is it what we thought it would be?",Susan Bunch,1,12,4,27
Mm-hmmm,Carol Willick,1,12,4,28
"Ok, what, what...ok, what did we think it was going to be?",Ross Geller,1,12,4,29
It's a...,,1,12,4,30
"No, no, no I don't want to know, don't want to know. Ok, you know, I should probably, I should probably just go.",Ross Geller,1,12,4,31
"Well, thanks for the books.",Carol Willick,1,12,4,32
"No problem, ok, mmmwa oh, mmmwa Susan...",Ross Geller,1,12,4,33
"All right, who should we call first, your folks, or Deb and Rona?",Susan Bunch,1,12,4,34
Hello?,Carol Willick,1,12,4,35
"Uh, never mind, I don't want to know.",Ross Geller,1,12,4,36
"Ok, so it's just because it was my table, I have to buy a new one?",Chandler Bing,1,12,5,1
That's the rule.,Joey Tribbiani,1,12,5,2
"What rule? There's no rule, if anything, you owe me a table!",Chandler Bing,1,12,5,3
How'd you get to that?,Joey Tribbiani,1,12,5,4
"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio",Chandler Bing,1,12,5,5
You knew about that?,Joey Tribbiani,1,12,5,6
"Well, let's just say the impressions you made in the butter left little to the imagination.",Chandler Bing,1,12,5,7
"Ok, ok, How about if we split it?",Joey Tribbiani,1,12,5,8
"What do you mean, like, buy it together?",Chandler Bing,1,12,5,9
Yeah,Joey Tribbiani,1,12,5,10
You think we're ready for something like that?,Chandler Bing,1,12,5,11
Why not?,Joey Tribbiani,1,12,5,12
"Well, it's a pretty big commitment, I mean, what if one of us wants to move out?",Chandler Bing,1,12,5,13
"Why, are you moving out?",Joey Tribbiani,1,12,5,14
I'm not moving out.,Chandler Bing,1,12,5,15
You'd tell me if you were moving out right,Joey Tribbiani,1,12,5,16
"Yeah, yeah, it's just that with my last roommate Kip...",Chandler Bing,1,12,5,17
"Aw, I know all about Kip!",Joey Tribbiani,1,12,5,18
"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",Chandler Bing,1,12,5,19
"Well, let me ask you something, was Kip a better roommate than me?",Joey Tribbiani,1,12,5,20
"Aw, don't do that",Chandler Bing,1,12,5,21
We've got a couple changes in your schedule. Your 4:00 herbal massage has been pushed back to 4:30 and Miss Somerfield canceled her 5:30 shiatsu.,Phoebe's Assistant,1,12,6,1
"Ok, thanks.",Phoebe Buffay,1,12,6,2
"Oh, here comes your 3:00. I don't mean to sound unprofessional, but, yum",Phoebe's Assistant,1,12,6,3
"Buon Giorno, Bella Phoebe!",Paolo,1,12,6,4
"Oh, Paolo, hi, what are you doing here?",Phoebe Buffay,1,12,6,5
"Uh, Racquela tell me you massage, eh?",Paolo,1,12,6,6
"Well, Racquela's right, yeah!",Phoebe Buffay,1,12,6,7
(Paolo speaks Italian),Scene Directions,1,12,6,8
"Oh, okay, I don't know what you just said, so let's get started.",Phoebe Buffay,1,12,6,9
"Uh, I am, uh, being naked?",Paolo,1,12,6,10
"Um, that's really your decision, I mean, some people prefer, you know, to take off...oh whoops! You're being naked!",Phoebe Buffay,1,12,6,11
"I can't believe you don't want to know. I mean, I couldn't not know, I mean, if, if the doctor knows, and Carol knows, and Susan knows....",Rachel Green,1,12,7,1
And Monica knows...,Monica Geller,1,12,7,2
"Wha, heh, how could you know, I don't even know!",Ross Geller,1,12,7,3
"Carol called me to thank me for the lasagna, I asked, she told me.",Monica Geller,1,12,7,4
So what's it gonna be?,Joey Tribbiani,1,12,7,5
"Waitohheyhuh, oh great now he knows, and I don't know!",Ross Geller,1,12,7,6
"I'm sorry, I'm just excited about being an aunt!",Monica Geller,1,12,7,7
Or an uncle...,Joey Tribbiani,1,12,7,8
(Phoebe enters),Scene Directions,1,12,7,9
Hey Phoebe!,,1,12,7,10
Hi Pheebs!,Ross Geller,1,12,7,11
Pheebs!,Rachel Green,1,12,7,12
Fine!,Phoebe Buffay,1,12,7,13
"Phoebe, what's the matter?",Monica Geller,1,12,7,14
"Nothing, I'm sorry, I'm just, I'm out of sorts.",Phoebe Buffay,1,12,7,15
"Hey, can we get some cappuccino over here?",Customer,1,12,7,16
"Oh, right, that's me!",Rachel Green,1,12,7,17
"Hey, Chandler, that table place closes at 7, come on.",Joey Tribbiani,1,12,7,18
Fine.,Chandler Bing,1,12,7,19
"Phoebe, what is it?",Monica Geller,1,12,7,20
"All right, you know Paolo?",Phoebe Buffay,1,12,7,21
"I'm familiar with his work, yes...",Ross Geller,1,12,7,22
